chr	gene_start	gene_end	gene_id	gene_type	gene_name
16	17082295	17085049	ENSG00000279490.1	TEC	CTD-2576D5.1
16	17094351	17094927	ENSG00000260675.1	unprocessed_pseudogene	CTD-2576D5.3
16	17096202	17096421	ENSG00000260405.1	processed_pseudogene	CTD-2576D5.2
16	17101769	17470881	ENSG00000103489.11	protein_coding	XYLT1
16	17137516	17138736	ENSG00000261448.1	antisense	CTD-2576D5.4
16	17192863	17194232	ENSG00000279410.1	TEC	RP11-1102P22.3
16	17227023	17228000	ENSG00000279415.1	TEC	RP11-1102P22.1
16	17249674	17251395	ENSG00000279620.1	TEC	RP11-1102P22.2
16	17445825	17446380	ENSG00000275927.1	sense_intronic	RP11-567P19.1
16	17540331	17540985	ENSG00000260945.1	lincRNA	RP11-916L7.1
16	17825252	17826906	ENSG00000261555.1	lincRNA	CTD-3229J4.1
16	17932720	17933275	ENSG00000228071.4	processed_pseudogene	RPL7P47
16	17967393	18151595	ENSG00000259929.5	lincRNA	CTA-481E9.4
16	17961597	17962370	ENSG00000280283.1	TEC	CTA-481E9.2
16	18002806	18173063	ENSG00000260242.1	lincRNA	CTA-481E9.3
16	18170356	18170959	ENSG00000260933.1	processed_pseudogene	RP11-164A6.1
16	18201501	18201956	ENSG00000278994.1	TEC	CTD-2036A2.1
16	18313294	18316984	ENSG00000276484.1	unprocessed_pseudogene	RP11-1212A22.7
16	18317942	18334850	ENSG00000214940.8	protein_coding	NPIPA8
16	18334400	18352476	ENSG00000205746.9	transcribed_unprocessed_pseudogene	RP11-1212A22.1
16	18344013	18344079	ENSG00000273613.1	miRNA	MIR6511A4
16	18357026	18357136	ENSG00000277647.1	unprocessed_pseudogene	RP11-1212A22.8
16	18358086	18374952	ENSG00000233024.7	protein_coding	RP11-1212A22.4
16	18374521	18401940	ENSG00000254681.6	transcribed_unprocessed_pseudogene	PKD1P5
16	18379351	18379410	ENSG00000275391.1	miRNA	MIR6770-3
16	18397937	18398036	ENSG00000206927.1	misc_RNA	Y_RNA
16	18402146	18403604	ENSG00000257563.1	lincRNA	MIR3180-3
16	18405698	18405762	ENSG00000265776.1	miRNA	MIR3670-3
16	18411309	18411851	ENSG00000257527.1	lincRNA	MIR3179-3
16	18411894	18411977	ENSG00000266454.1	miRNA	MIR3179-3
16	18417325	18562211	ENSG00000185164.14	protein_coding	NOMO2
16	18488301	18488365	ENSG00000274025.1	miRNA	MIR3670-4
16	18494493	18494576	ENSG00000277014.1	miRNA	MIR3179-4
16	18533418	18533817	ENSG00000262974.1	processed_pseudogene	RP11-457I16.4
16	18570448	18571683	ENSG00000260550.2	lincRNA	RP11-457I16.2
16	18571162	18598328	ENSG00000256340.8	transcribed_unprocessed_pseudogene	ABCC6P1
16	18781295	18790383	ENSG00000134419.15	protein_coding	RPS15A
16	18791667	18801678	ENSG00000170540.14	protein_coding	ARL6IP1
16	18803083	18812181	ENSG00000260017.1	antisense	RP11-1035H13.2
16	18804853	18926454	ENSG00000157106.16	protein_coding	SMG1
16	18926863	18937043	ENSG00000260352.1	antisense	CTD-2288F12.1
16	18983934	19063804	ENSG00000170537.12	protein_coding	TMC7
16	19012157	19012263	ENSG00000207167.1	snRNA	RNU6-1340P
16	19063943	19067598	ENSG00000261465.6	antisense	RP11-626G11.5
16	19065991	19066694	ENSG00000261357.1	lincRNA	RP11-626G11.1
16	19067692	19080095	ENSG00000167186.10	protein_coding	COQ7
16	19086856	19098110	ENSG00000260430.1	lincRNA	RP11-626G11.4
16	19111035	19111484	ENSG00000278389.1	lincRNA	RP11-626G11.6
16	19113932	19120708	ENSG00000205730.6	protein_coding	ITPRIPL2
16	19167971	19268334	ENSG00000103528.16	protein_coding	SYT17
16	19285739	19322145	ENSG00000261210.7	protein_coding	CLEC19A
16	19315164	19316526	ENSG00000259871.1	sense_intronic	CTA-363E6.1
16	19343647	19401693	ENSG00000259925.1	lincRNA	CTA-363E6.2
16	19392213	19393375	ENSG00000280265.1	TEC	CTA-363E6.3
16	19410496	19499113	ENSG00000103534.16	protein_coding	TMC5
16	19411177	19411662	ENSG00000260681.1	antisense	CTA-363E6.5
16	19476916	19487899	ENSG00000260592.1	antisense	CTA-363E6.6
16	19501890	19522145	ENSG00000006007.11	protein_coding	GDE1
